ID	English source
OMI0001	Save
OMI0002	Cancel
OMI0003	Close
OMI0004	Delete
OMI0005	Edit
OMI0006	Add
OMI0007	Loading…
OMI0008	Language
OMI0009	Documents
OMI0010	Editor
OMI0011	Metadata
OMI0012	Preview
OMI0013	Settings
OMI0014	Manuscript menu
OMI0015	Close manuscript menu
OMI0016	Interface language
OMI0017	Saved
OMI0018	Saving…
OMI0019	Manuscript editor
OMI0020	Enter the manuscript title
OMI0021	No section is selected.
OMI0022	Document
OMI0023	Manuscript data
OMI0024	Notes
OMI0025	References
OMI0026	Contributors
OMI0027	History
OMI0028	Export and tools
OMI0029	Settings
OMI0030	Document structure
OMI0031	Choose the section you want to work on. Structural and object information stays out of the writing surface until you need it.
OMI0032	Add section
OMI0033	Sections
OMI0034	Objects
OMI0035	Annotations
OMI0036	Citations
OMI0037	Manuscript data
OMI0038	Edit manuscript-level information separately from the writing surface.
OMI0039	Export and tools
OMI0040	Secondary, technical and potentially destructive actions are kept outside the writing surface.
OMI0041	Export .omi.json
OMI0042	Create a canonical portable OMI manuscript file after checkpointing pending edits.
OMI0043	Reset sample
OMI0044	Replace the current alpha sample with a new clean sample manuscript.
OMI0045	Reset the current sample manuscript? Unsaved and current sample data will be replaced.
OMI0046	Technical data
OMI0047	Inspect the semantic representation only when technical details are needed.
OMI0048	Current section JSON
OMI0049	Synced
OMI0050	Interface settings
OMI0051	Choose which interface languages you want available while working. These preferences are stored on this device.
OMI0052	Available interface languages
OMI0053	Enabled languages appear in the quick language switcher in the editor header.
OMI0054	Current interface language
OMI0055	The language currently in use must remain enabled. Switch to another language before disabling it.
OMI0056	Available in quick switcher
OMI0057	Hidden from quick switcher
OMI0058	The language registry is extensible. Future translation dictionaries can be added without redesigning this settings screen.
OMI0059	New manuscript
OMI0060	Document title
OMI0061	Abstract
OMI0062	Keywords
OMI0063	Contributors
OMI0064	Sections
OMI0065	Notes
OMI0066	Citations
OMI0067	Bibliography
OMI0068	Document language
OMI0069	Original language
OMI0070	Notes
OMI0071	Manage semantic manuscript notes. Note bodies remain independent annotation objects while their inline anchors stay in the text.
OMI0072	This manuscript has no notes yet.
OMI0073	Place the cursor in the text and use the Note button or Ctrl/Cmd+Alt+N.
OMI0074	Note
OMI0075	Note type
OMI0076	Note text
OMI0077	Write the note…
OMI0078	Footnote
OMI0079	Endnote
OMI0080	Author note
OMI0081	Delete note
OMI0082	Delete this note and its inline anchor from the manuscript?
OMI0083	Close note editor
OMI0084	Go to note
OMI0085	Saved with manuscript revisions
OMI0086	References
OMI0087	Add a work once to the manuscript reference library, then reuse it in as many citation occurrences as needed.
OMI0088	Add reference
OMI0089	Edit reference
OMI0090	Store structured bibliographic metadata independently from any one citation or output style.
OMI0091	The manuscript reference library is empty.
OMI0092	Add a book, article, archival source, web resource or another cited work before inserting citations in the text.
OMI0093	Search references
OMI0094	Search by title, creator, year, DOI…
OMI0095	Untitled reference
OMI0096	citations
OMI0097	Neutral preview of records currently cited in the manuscript. Final formatting belongs to the publication profile.
OMI0098	Resource type
OMI0099	Title
OMI0100	Title of the cited work
OMI0101	Subtitle
OMI0102	Creators and contributors
OMI0103	Keep contributor names structured so citation styles and exports can render them correctly.
OMI0104	Add creator
OMI0105	Remove creator
OMI0106	No creator has been added.
OMI0107	Role
OMI0108	Given name
OMI0109	Family name
OMI0110	Journal, book or container title
OMI0111	Publication date / year
OMI0112	Volume
OMI0113	Issue
OMI0114	Pages / extent
OMI0115	Publisher
OMI0116	Place of publication
OMI0117	A likely duplicate already exists in the reference library:
OMI0118	Insert citation
OMI0119	Choose a work from the manuscript reference library and optionally specify the cited location.
OMI0120	No reference is available yet.
OMI0121	Add the work from Manuscript menu → References, then return here to cite it.
OMI0122	Insert citation
OMI0123	Citation
OMI0124	Cited work
OMI0125	Locator type
OMI0126	Locator
OMI0127	e.g. 45–47, 12r–13v, chapter 4
OMI0128	Prefix
OMI0129	e.g. see also
OMI0130	Suffix
OMI0131	e.g. emphasis added
OMI0132	Open source
OMI0133	Close citation editor
OMI0134	Delete citation
OMI0135	Delete this citation occurrence from the manuscript? The bibliographic record will remain in the reference library.
OMI0136	The cited bibliographic record is unresolved or missing.
OMI0137	Author
OMI0138	Editor
OMI0139	Translator
OMI0140	Compiler
OMI0141	Contributor
OMI0142	Journal article
OMI0143	Book
OMI0144	Book chapter
OMI0145	Conference paper
