Studio locale	Language	Status	Instruction
el	Ελληνικά	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
es	Español	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
et	Eesti	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
fi	Suomi	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
ga	Gaeilge	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
hr	Hrvatski	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
lt	Lietuvių	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
lv	Latviešu	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
mt	Malti	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
nl	Nederlands	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
pl	Polski	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
pt	Português	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
ro	Română	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
sk	Slovenčina	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
sl	Slovenščina	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
sv	Svenska	existing-partial	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
af	Afrikaans	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
am	አማርኛ	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
ca	Català	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
fil	Filipino	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
he	עברית	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
hi	हिन्दी	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
id	Bahasa Indonesia	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
is	Íslenska	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
ja	日本語	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
ko	한국어	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
ms	Bahasa Melayu	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
no	Norsk	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
ru	Русский	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
sr	Српски	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
sw	Kiswahili	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
th	ไทย	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
tr	Türkçe	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
uk	Українська	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
vi	Tiếng Việt	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
zh-CN	简体中文	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
zh-HK	繁體中文（香港）	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
zh-TW	繁體中文（台灣）	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
zu	isiZulu	new	Translate all 722 rows; existing translations will only be replaced where the Studio catalogue is still incomplete.
